date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,month,month_label,wipt
2015-01-01,Quarter1,finishing,Thursday,1,0.75,3.94,1039.0,960,0,0.0,0,0,8,0.886,1,January,0.053575600259571705
2015-01-01,Quarter1,sweing,Thursday,1,0.75,28.08,681.0,6900,45,0.0,0,0,58,0.75,1,January,0.03499026606099935
2015-01-03,Quarter1,finishing,Saturday,1,0.8,3.94,1039.0,960,0,0.0,0,0,8,0.903,1,January,0.053575600259571705
2015-01-03,Quarter1,sweing,Saturday,1,0.8,28.08,772.0,6300,50,0.0,0,0,56,0.801,1,January,0.03971447112264763
2015-01-04,Quarter1,finishing,Sunday,1,0.8,3.94,1039.0,960,0,0.0,0,0,8,0.915,1,January,0.053575600259571705
2015-01-04,Quarter1,sweing,Sunday,1,0.8,26.16,1033.0,7080,63,0.0,0,0,59,0.8,1,January,0.053264114211550945
2015-01-05,Quarter1,finishing,Monday,1,0.8,3.94,1039.0,1920,0,0.0,0,0,8,0.961,1,January,0.053575600259571705
2015-01-05,Quarter1,sweing,Monday,1,0.8,26.16,1138.0,7080,63,0.0,0,0,59,0.8,1,January,0.05871512005191434
2015-01-06,Quarter1,finishing,Tuesday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,8,0.936,1,January,0.053575600259571705
2015-01-06,Quarter1,sweing,Tuesday,1,0.8,26.16,1187.0,10620,75,0.0,0,0,59,0.851,1,January,0.06125892277741726
2015-01-07,Quarter1,finishing,Wednesday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,8,0.951,1,January,0.053575600259571705
2015-01-07,Quarter1,sweing,Wednesday,1,0.8,26.16,1179.0,10620,75,0.0,0,0,59,0.851,1,January,0.06084360804672291
2015-01-08,Quarter2,finishing,Thursday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,8,0.948,1,January,0.053575600259571705
2015-01-08,Quarter2,sweing,Thursday,1,0.8,26.16,1189.0,10620,75,0.0,0,0,59,0.851,1,January,0.061362751460090854
2015-01-10,Quarter2,finishing,Saturday,1,0.8,3.94,1039.0,2160,0,0.0,0,0,8,0.985,1,January,0.053575600259571705
2015-01-10,Quarter2,sweing,Saturday,1,0.8,26.16,1335.0,10620,63,0.0,0,0,59,0.8,1,January,0.06894224529526281
2015-01-11,Quarter2,finishing,Sunday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,8,0.873,1,January,0.053575600259571705
2015-01-11,Quarter2,sweing,Sunday,1,0.8,26.16,1383.0,10620,75,0.0,0,0,59,0.851,1,January,0.07143413367942894
2015-01-12,Quarter2,finishing,Monday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,8,0.955,1,January,0.053575600259571705
2015-01-12,Quarter2,sweing,Monday,1,0.8,26.16,1099.0,8220,75,0.0,0,0,59,0.851,1,January,0.05669046073977937
2015-01-13,Quarter2,finishing,Tuesday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,2,0.951,1,January,0.053575600259571705
2015-01-13,Quarter2,sweing,Tuesday,1,0.8,26.16,1073.0,10620,75,0.0,0,0,59,0.851,1,January,0.05534068786502271
2015-01-14,Quarter2,finishing,Wednesday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,8,0.892,1,January,0.053575600259571705
2015-01-14,Quarter2,sweing,Wednesday,1,0.8,26.16,1092.0,10620,63,0.0,0,0,59,0.8,1,January,0.05632706035042181
2015-01-15,Quarter3,finishing,Thursday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,8,0.884,1,January,0.053575600259571705
2015-01-15,Quarter3,sweing,Thursday,1,0.8,26.16,1160.0,10620,75,0.0,0,0,59,0.851,1,January,0.059857235561323816
2015-01-17,Quarter3,finishing,Saturday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,8,0.884,1,January,0.053575600259571705
2015-01-17,Quarter3,sweing,Saturday,1,0.8,48.68,171.0,10620,63,0.0,0,0,59,0.8,1,January,0.008513951979234264
2015-01-18,Quarter3,sweing,Sunday,1,0.8,49.1,1381.0,10350,24,0.0,0,0,58,0.403,1,January,0.07133030499675536
2015-01-19,Quarter3,sweing,Monday,1,0.5,22.94,1492.0,10170,30,0.0,0,0,56,0.55,1,January,0.07709279688513952
2015-01-21,Quarter3,sweing,Wednesday,1,0.65,22.94,1595.0,10260,34,0.0,0,0,57,0.7,1,January,0.08243997404282934
2015-01-21,Quarter3,finishing,Wednesday,1,0.65,3.94,1039.0,2400,0,0.0,0,0,8,0.505,1,January,0.053575600259571705
2015-01-22,Quarter4,sweing,Thursday,1,0.7,22.94,1384.0,12180,63,0.0,0,0,57,0.75,1,January,0.07148604802076573
2015-01-22,Quarter4,finishing,Thursday,1,0.7,3.94,1039.0,15000,0,0.0,0,0,25,0.65,1,January,0.053575600259571705
2015-01-24,Quarter4,sweing,Saturday,1,0.7,22.94,1472.0,10260,75,0.0,0,0,57,0.801,1,January,0.07605451005840363
2015-01-24,Quarter4,finishing,Saturday,1,0.7,3.94,1039.0,1440,0,0.0,0,0,8,0.578,1,January,0.053575600259571705
2015-01-25,Quarter4,finishing,Sunday,1,0.7,3.94,1039.0,1440,0,0.0,0,0,8,0.97,1,January,0.053575600259571705
2015-01-25,Quarter4,sweing,Sunday,1,0.7,22.94,1682.0,10530,75,0.0,0,0,58,0.801,1,January,0.08695652173913043
2015-01-26,Quarter4,finishing,Monday,1,0.7,3.94,1039.0,1800,0,0.0,0,0,10,0.91,1,January,0.053575600259571705
2015-01-26,Quarter4,sweing,Monday,1,0.7,22.94,1745.0,10440,60,0.0,0,0,58,0.8,1,January,0.09022712524334847
2015-01-27,Quarter4,sweing,Tuesday,1,0.75,22.94,1871.0,6960,55,0.0,0,0,58,0.8,1,January,0.09676833225178456
2015-01-27,Quarter4,finishing,Tuesday,1,0.75,3.94,1039.0,1200,0,0.0,0,0,10,0.778,1,January,0.053575600259571705
2015-01-28,Quarter4,finishing,Wednesday,1,0.75,3.94,1039.0,1200,0,0.0,0,0,10,0.946,1,January,0.053575600259571705
2015-01-28,Quarter4,sweing,Wednesday,1,0.75,22.94,1868.0,6960,81,0.0,0,0,58,0.85,1,January,0.09661258922777417
2015-01-29,Quarter5,finishing,Thursday,1,0.75,3.94,1039.0,1200,0,0.0,0,0,10,0.854,1,January,0.053575600259571705
2015-01-29,Quarter5,sweing,Thursday,1,0.75,22.94,1579.0,6960,81,0.0,0,0,58,0.85,1,January,0.08160934458144062
2015-01-31,Quarter5,finishing,Saturday,1,0.75,3.94,1039.0,1800,0,0.0,0,0,15,0.972,1,January,0.053575600259571705
2015-01-31,Quarter5,sweing,Saturday,1,0.75,22.94,1502.0,6960,81,0.0,0,0,58,0.85,1,January,0.07761194029850746
2015-02-01,Quarter1,sweing,Sunday,1,0.8,22.94,1582.0,3060,113,0.0,0,0,58,1.0,2,February,0.08176508760545101
2015-02-01,Quarter1,finishing,Sunday,1,0.75,3.94,1039.0,2280,0,0.0,0,0,19,0.95,2,February,0.053575600259571705
2015-02-02,Quarter1,sweing,Monday,1,0.8,22.94,16882.0,7020,113,0.0,0,0,58,1.001,2,February,0.8760545100584036
2015-02-02,Quarter1,finishing,Monday,1,0.75,3.94,1039.0,2280,0,0.0,0,0,19,0.505,2,February,0.053575600259571705
2015-02-03,Quarter1,sweing,Tuesday,1,0.8,22.52,1500.0,6900,113,0.0,0,0,58,1.0,2,February,0.07750811161583387
2015-02-03,Quarter1,finishing,Tuesday,1,0.8,3.94,1039.0,1200,0,0.0,0,0,10,0.995,2,February,0.053575600259571705
2015-02-04,Quarter1,finishing,Wednesday,1,0.8,3.94,1039.0,1200,0,0.0,0,0,10,0.929,2,February,0.053575600259571705
2015-02-04,Quarter1,sweing,Wednesday,1,0.8,22.52,1532.0,6900,88,0.0,0,0,58,0.9,2,February,0.0791693705386113
2015-02-05,Quarter1,sweing,Thursday,1,0.8,22.52,1485.0,6900,113,0.0,0,0,58,1.0,2,February,0.07672939649578196
2015-02-05,Quarter1,finishing,Thursday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,12,0.845,2,February,0.053575600259571705
2015-02-07,Quarter1,sweing,Saturday,1,0.8,22.52,1534.0,6780,88,0.0,0,0,57,0.9,2,February,0.07927319922128488
2015-02-07,Quarter1,finishing,Saturday,1,0.8,3.94,1039.0,1200,0,0.0,0,0,10,0.87,2,February,0.053575600259571705
2015-02-08,Quarter2,sweing,Sunday,1,0.8,22.52,1615.0,6780,88,0.0,0,0,56,0.9,2,February,0.08347826086956522
2015-02-08,Quarter2,finishing,Sunday,1,0.8,3.94,1039.0,1200,0,0.0,0,0,10,0.893,2,February,0.053575600259571705
2015-02-09,Quarter2,finishing,Monday,1,0.8,3.94,1039.0,1200,0,0.0,0,0,10,0.962,2,February,0.053575600259571705
2015-02-09,Quarter2,sweing,Monday,1,0.8,22.52,1506.0,3600,70,0.0,0,0,57,0.901,2,February,0.07781959766385464
2015-02-10,Quarter2,sweing,Tuesday,1,0.8,22.52,1546.0,0,88,0.0,0,0,57,0.9,2,February,0.07989617131732642
2015-02-10,Quarter2,finishing,Tuesday,1,0.8,3.94,1039.0,1440,0,0.0,0,0,12,0.854,2,February,0.053575600259571705
